,geometry,color,mw,plantName,year
1606,"10661    POLYGON ((289517.902 4188752.705, 289494.646 4...
10662    POLYGON ((289517.902 4188752.705, 289494.646 4...
10663    POLYGON ((289517.902 4188752.705, 289494.646 4...
10664    POLYGON ((289517.902 4188752.705, 289494.646 4...
10665    POLYGON ((289517.902 4188752.705, 289494.646 4...
10666    POLYGON ((289517.902 4188752.705, 289494.646 4...
10667    POLYGON ((289517.902 4188752.705, 289494.646 4...
10668    POLYGON ((289517.902 4188752.705, 289494.646 4...
10669    POLYGON ((289517.902 4188752.705, 289494.646 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4829702.656,Doswell Energy Center-NG,2018
1289,"10661    POLYGON ((289399.110 4188752.705, 289376.426 4...
10662    POLYGON ((289399.110 4188752.705, 289376.426 4...
10663    POLYGON ((289399.110 4188752.705, 289376.426 4...
10664    POLYGON ((289399.110 4188752.705, 289376.426 4...
10665    POLYGON ((289399.110 4188752.705, 289376.426 4...
10666    POLYGON ((289399.110 4188752.705, 289376.426 4...
10667    POLYGON ((289399.110 4188752.705, 289376.426 4...
10668    POLYGON ((289399.110 4188752.705, 289376.426 4...
10669    POLYGON ((289399.110 4188752.705, 289376.426 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4710910.602,Doswell Energy Center-NG,2015
1393,"10661    POLYGON ((289192.122 4188752.705, 289170.434 4...
10662    POLYGON ((289192.122 4188752.705, 289170.434 4...
10663    POLYGON ((289192.122 4188752.705, 289170.434 4...
10664    POLYGON ((289192.122 4188752.705, 289170.434 4...
10665    POLYGON ((289192.122 4188752.705, 289170.434 4...
10666    POLYGON ((289192.122 4188752.705, 289170.434 4...
10667    POLYGON ((289192.122 4188752.705, 289170.434 4...
10668    POLYGON ((289192.122 4188752.705, 289170.434 4...
10669    POLYGON ((289192.122 4188752.705, 289170.434 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4503922.442,Doswell Energy Center-NG,2016
1052,"13021    POLYGON ((207033.966 4196416.336, 207012.381 4...
13022    POLYGON ((207033.966 4196416.336, 207012.381 4...
13023    POLYGON ((207033.966 4196416.336, 207012.381 4...
13024    POLYGON ((207033.966 4196416.336, 207012.381 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4482557.0,Tenaska Virginia Generating Station-NG,2013
935,"7527    POLYGON ((174196.058 4086749.144, 174174.905 4...
7528    POLYGON ((174196.058 4086749.144, 174174.905 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",4392862.377,Clover-BIT,2012
857,"13021    POLYGON ((206883.946 4196416.336, 206863.083 4...
13022    POLYGON ((206883.946 4196416.336, 206863.083 4...
13023    POLYGON ((206883.946 4196416.336, 206863.083 4...
13024    POLYGON ((206883.946 4196416.336, 206863.083 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4332537.0,Tenaska Virginia Generating Station-NG,2011
45,"26159    POLYGON ((388030.272 4070270.512, 388009.964 4...
26163    POLYGON ((388030.272 4070270.512, 388009.964 4...
26164    POLYGON ((388030.272 4070270.512, 388009.964 4...
26165    POLYGON ((388030.272 4070270.512, 388009.964 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",4217382.0,Chesapeake-BIT,2001
117,"26159    POLYGON ((387939.288 4070270.512, 387919.418 4...
26163    POLYGON ((387939.288 4070270.512, 387919.418 4...
26164    POLYGON ((387939.288 4070270.512, 387919.418 4...
26165    POLYGON ((387939.288 4070270.512, 387919.418 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",4126398.0,Chesapeake-BIT,2002
266,"26159    POLYGON ((387914.751 4070270.512, 387894.999 4...
26163    POLYGON ((387914.751 4070270.512, 387894.999 4...
26164    POLYGON ((387914.751 4070270.512, 387894.999 4...
26165    POLYGON ((387914.751 4070270.512, 387894.999 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",4101861.0,Chesapeake-BIT,2004
1498,"10661    POLYGON ((288763.940 4188752.705, 288744.314 4...
10662    POLYGON ((288763.940 4188752.705, 288744.314 4...
10663    POLYGON ((288763.940 4188752.705, 288744.314 4...
10664    POLYGON ((288763.940 4188752.705, 288744.314 4...
10665    POLYGON ((288763.940 4188752.705, 288744.314 4...
10666    POLYGON ((288763.940 4188752.705, 288744.314 4...
10667    POLYGON ((288763.940 4188752.705, 288744.314 4...
10668    POLYGON ((288763.940 4188752.705, 288744.314 4...
10669    POLYGON ((288763.940 4188752.705, 288744.314 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4075740.8989999997,Doswell Energy Center-NG,2017
985,"5705     POLYGON ((305297.449 4267831.113, 305277.842 4...
5706     POLYGON ((305297.449 4267831.113, 305277.842 4...
5707     POLYGON ((305297.449 4267831.113, 305277.842 4...
26168    POLYGON ((305297.449 4267831.113, 305277.842 4...
26169    POLYGON ((305297.449 4267831.113, 305277.842 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4071836.06,Possum Point-NG,2012
925,"15053    POLYGON ((214331.034 4177118.345, 214311.780 4...
15054    POLYGON ((214331.034 4177118.345, 214311.780 4...
15055    POLYGON ((214331.034 4177118.345, 214311.780 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",3998397.8439999996,Bear Garden-NG,2012
1529,"15053    POLYGON ((214329.840 4177118.345, 214310.593 4...
15054    POLYGON ((214329.840 4177118.345, 214310.593 4...
15055    POLYGON ((214329.840 4177118.345, 214310.593 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",3997204.7589999996,Bear Garden-NG,2018
516,"26159    POLYGON ((387658.655 4070270.512, 387640.137 4...
26163    POLYGON ((387658.655 4070270.512, 387640.137 4...
26164    POLYGON ((387658.655 4070270.512, 387640.137 4...
26165    POLYGON ((387658.655 4070270.512, 387640.137 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",3845765.439,Chesapeake-BIT,2007
